"","BALLOT","NATEDUC","NATDRUG","NATCRIME","NATCITY","NATHEAL","NATENVIR","NATSPAC","POLVIEWS","NATRACE","NATARMS","NATAID","NATENRGY","NATSCI","NATCHLD","NATPARK","NATMASS","NATSOC","NATROAD","NATFARE","IF12WHO","VOTE12","CHILDS","DIVORCE","AGEWED","MARITAL","EVWORK","HRS1","WRKSTAT","ID_","AGE","EDUC","DEGREE","PARTYID","INCOME","HOMPOP","RACE","SEX","SPDEG","MADEG","PADEG","YEAR"
"767",2,0,0,0,0,0,0,0,2,0,0,0,1,2,1,1,1,1,1,0,1,3,0,0,0,5,2,-1,6,767,20,13,1,0,12,3,1,2,7,3,4,2016
"768",2,1,2,1,3,2,1,2,5,1,2,2,1,1,1,2,2,3,2,2,2,3,0,0,0,5,0,20,2,768,19,12,1,6,12,3,1,2,7,3,3,2016
"769",3,1,2,2,2,2,1,1,6,2,2,3,1,1,1,2,2,1,2,3,0,1,3,1,0,1,0,39,1,769,53,12,1,4,98,4,1,2,1,1,0,2016
"770",1,1,1,1,1,1,1,1,3,1,2,3,1,2,1,2,1,2,2,3,0,1,2,2,0,1,0,40,1,770,40,15,1,0,12,2,2,2,4,2,7,2016
"771",3,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,1,2,1,0,0,1,1,2,0,1,0,60,1,771,51,16,3,3,12,2,1,1,3,4,3,2016
"772",3,2,1,1,1,1,1,2,5,1,2,2,2,2,1,2,1,1,3,1,0,1,3,0,0,3,1,-1,5,772,65,13,1,0,12,2,2,1,7,2,1,2016
"773",1,1,1,1,1,1,1,3,4,1,1,3,1,3,2,2,1,1,2,1,0,1,2,0,0,3,0,24,1,773,51,13,1,0,12,4,2,2,-1,3,0,2016
"774",1,0,0,0,0,0,0,0,4,0,0,0,2,3,2,2,2,2,2,0,0,1,2,2,0,1,0,40,1,774,60,14,2,0,12,3,2,1,0,0,7,2016
"775",3,1,1,1,2,1,2,2,4,1,2,3,1,2,2,2,2,1,2,1,3,2,3,0,0,3,0,21,2,775,57,12,1,0,12,1,2,1,7,1,7,2016
"776",2,0,0,0,0,0,0,0,3,0,0,0,2,1,2,2,2,1,1,0,0,1,4,0,0,3,1,-1,5,776,70,13,1,0,11,2,1,2,7,1,1,2016
"777",3,0,0,0,0,0,0,0,3,0,0,0,2,2,2,2,2,2,2,0,1,2,3,2,0,1,2,-1,8,777,53,12,1,0,3,3,2,2,1,0,0,2016
"778",2,2,2,2,3,2,1,2,4,2,3,3,2,2,2,2,2,2,2,2,0,1,2,0,0,5,0,40,1,778,37,16,3,2,9,3,2,2,7,1,8,2016
"779",1,0,0,0,0,0,0,0,6,0,0,0,2,2,2,2,3,1,2,0,3,2,1,0,0,5,0,40,1,779,56,12,1,3,12,1,2,1,7,0,0,2016
"780",2,0,0,0,0,0,0,0,4,0,0,0,1,1,2,1,2,1,3,0,0,1,2,0,0,3,1,-1,7,780,59,12,1,0,11,3,2,2,7,8,8,2016
"781",3,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,2,1,1,3,0,0,0,5,2,-1,6,781,21,13,1,1,12,2,2,2,7,1,1,2016
"782",2,0,0,0,0,0,0,0,5,0,0,0,1,1,2,2,1,1,1,0,2,2,0,0,0,5,0,55,1,782,59,11,0,0,12,2,1,1,-1,3,3,2016
"783",2,1,1,1,1,2,1,1,4,9,1,3,1,1,1,1,1,1,1,3,0,1,3,1,0,2,1,-1,5,783,66,13,1,5,5,1,1,1,7,1,1,2016
"784",2,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,1,1,2,0,1,2,4,1,0,1,0,50,1,784,56,17,2,1,2,1,1,1,1,1,0,2016
"785",2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,2,1,3,0,0,1,3,2,0,1,0,55,1,785,56,12,1,0,12,2,2,2,1,0,7,2016
"786",1,1,1,1,1,1,2,8,8,1,8,2,1,8,1,2,2,2,1,2,1,2,1,0,0,5,0,50,1,786,24,14,2,3,12,2,2,2,7,1,7,2016
"787",3,0,0,0,0,0,0,0,6,0,0,0,1,2,1,1,2,1,1,0,0,1,3,2,0,2,1,-1,8,787,87,12,1,2,98,2,2,2,7,0,0,2016
"788",1,0,0,0,0,0,0,0,4,0,0,0,2,2,1,2,2,2,1,0,0,1,0,0,0,5,0,40,1,788,22,13,1,1,12,2,2,2,7,3,7,2016
"789",3,1,2,1,1,1,2,2,4,1,2,3,1,2,2,2,2,1,1,2,9,2,5,0,0,3,0,80,1,789,51,12,1,3,12,2,2,1,7,0,7,2016
"790",2,0,0,0,0,0,0,0,4,0,0,0,1,2,1,2,2,1,1,0,0,1,1,1,0,1,0,35,1,790,56,12,1,0,12,3,2,2,0,0,0,2016
"791",1,1,1,1,1,1,2,2,5,2,2,3,1,3,1,1,2,1,3,1,0,1,4,2,0,1,0,40,1,791,47,18,3,9,12,4,2,2,1,1,1,2016
"792",2,2,1,2,3,2,1,2,4,2,1,2,2,1,2,2,2,2,3,2,2,3,0,0,0,5,2,-1,6,792,18,11,0,4,3,3,1,1,7,1,1,2016
"793",2,1,1,1,2,1,1,1,4,2,2,3,1,2,1,1,1,2,1,2,1,2,2,0,0,5,0,-1,4,793,26,8,0,3,12,6,1,2,7,2,8,2016
"794",3,1,3,3,1,1,1,3,3,1,3,3,1,2,2,1,1,1,3,3,0,1,0,0,0,5,1,-1,6,794,27,14,1,3,12,2,2,2,7,1,2,2016
"795",1,2,1,1,2,1,1,1,8,2,1,2,2,2,1,2,2,2,3,1,2,3,0,0,0,5,0,26,2,795,20,14,1,5,13,4,3,1,7,4,1,2016
"796",2,1,1,1,1,2,1,3,5,1,2,2,2,1,1,2,2,3,3,3,1,2,3,0,0,3,0,80,1,796,33,12,1,2,12,3,2,2,-1,1,1,2016
"797",3,1,1,2,2,2,1,8,6,2,3,1,2,2,1,1,2,2,3,1,1,2,2,0,0,5,0,36,1,797,31,12,1,2,11,2,1,2,-1,1,1,2016
"798",2,1,3,1,3,2,2,2,4,3,1,2,1,2,2,2,1,1,1,2,0,1,1,0,0,3,0,27,2,798,70,16,4,3,12,1,1,2,7,0,7,2016
"799",1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,1,1,3,0,0,1,0,0,0,5,1,-1,8,799,51,17,3,2,98,1,1,2,7,4,3,2016
"800",1,1,1,1,2,1,2,2,4,2,2,1,8,1,1,2,2,2,2,1,0,1,3,2,0,1,1,-1,5,800,87,16,3,4,12,2,1,2,3,0,1,2016
"801",3,0,0,0,0,0,0,0,4,0,0,0,1,2,1,2,1,2,1,0,0,1,2,0,0,3,0,40,1,801,54,16,3,5,12,3,1,2,7,1,1,2016
"802",1,2,1,1,2,2,1,2,2,8,2,3,1,1,2,2,1,2,2,1,0,1,2,1,0,1,1,-1,5,802,81,12,1,2,12,2,1,2,4,1,1,2016
"803",2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,0,0,0,5,0,33,2,803,25,14,2,3,3,2,2,1,7,0,1,2016
"804",1,1,2,1,2,1,1,8,6,1,3,1,1,3,1,2,2,1,2,2,9,2,2,2,0,1,0,40,1,804,47,12,1,3,2,3,2,1,0,1,7,2016
"805",1,0,0,0,0,0,0,0,5,0,0,0,1,2,1,2,2,2,2,0,1,2,2,1,0,1,1,-1,5,805,65,16,3,3,12,3,2,1,1,1,7,2016
"806",1,0,0,0,0,0,0,0,5,0,0,0,8,8,8,8,8,8,8,0,1,2,4,2,0,1,2,-1,5,806,75,12,0,1,2,2,1,1,0,0,0,2016
"807",1,2,2,2,3,3,2,1,5,2,2,3,2,2,3,2,1,1,1,2,0,1,0,2,0,1,0,45,1,807,46,16,3,5,12,2,1,1,4,1,4,2016
"808",2,1,1,2,1,2,1,2,3,8,3,2,1,8,1,1,1,8,1,2,0,1,0,0,0,3,0,-1,4,808,51,12,1,2,12,1,1,1,7,1,4,2016
"809",1,1,2,1,1,2,1,2,4,2,3,3,1,2,2,2,2,2,1,3,0,1,0,1,0,1,0,60,1,809,53,19,4,2,12,3,1,1,3,4,4,2016
"810",3,0,0,0,0,0,0,0,4,0,0,0,8,8,8,2,2,2,2,0,0,1,4,2,0,1,1,-1,7,810,45,16,3,1,13,6,1,2,3,8,8,2016
"811",2,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2,1,1,2,1,1,3,0,0,0,5,1,-1,6,811,18,12,1,0,13,3,1,2,7,3,3,2016
"812",1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,3,2,2,0,1,0,40,1,812,52,17,4,0,12,2,1,2,3,1,1,2016
"813",3,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,2,1,2,0,0,1,3,0,0,3,0,40,1,813,56,16,3,4,12,2,1,2,7,3,4,2016
"814",2,1,1,2,2,1,1,2,3,2,3,3,1,1,2,2,1,1,1,2,0,1,2,2,0,1,0,50,1,814,34,16,3,1,13,2,1,1,3,2,1,2016
"815",3,1,2,1,1,2,2,3,6,1,2,3,2,1,1,2,2,1,1,1,0,1,4,0,0,5,1,-1,7,815,58,16,3,0,10,1,2,2,7,0,7,2016
"816",2,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,2,1,2,0,0,1,2,0,0,5,0,48,1,816,59,12,1,0,12,1,2,1,7,7,1,2016
"817",1,1,1,1,1,1,1,2,6,1,2,2,2,2,1,1,1,1,2,2,0,1,1,1,0,2,1,-1,5,817,69,16,4,0,10,1,2,2,7,2,7,2016
"818",1,0,0,0,0,0,0,0,2,0,0,0,1,3,1,2,3,1,1,0,0,1,6,2,0,2,1,-1,5,818,67,12,1,1,9,1,2,2,7,0,8,2016
"819",3,1,3,1,1,1,2,3,4,1,3,3,3,2,1,2,2,1,3,1,0,1,0,0,0,5,1,-1,8,819,54,16,3,0,13,1,2,2,7,1,1,2016
"820",1,1,1,1,1,1,1,3,6,1,3,3,1,1,1,1,1,1,1,3,0,1,3,1,0,1,0,48,1,820,53,14,1,3,12,3,2,1,1,1,3,2016
"821",3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,2,1,2,0,0,1,2,0,0,4,0,70,1,821,47,14,1,0,9,1,2,2,7,3,7,2016
"822",1,0,0,0,0,0,0,0,3,0,0,0,1,1,1,2,1,1,1,0,0,1,3,2,0,1,1,-1,5,822,47,16,3,1,13,2,2,1,3,3,3,2016
"823",3,1,3,1,1,1,2,3,8,2,1,8,2,2,8,2,2,2,3,2,0,1,1,1,0,2,1,-1,7,823,63,5,0,0,11,1,2,2,7,0,7,2016
"824",3,0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,2,1,3,0,0,1,2,0,0,5,0,50,1,824,32,18,3,1,12,3,2,2,7,1,7,2016
"825",2,1,2,2,2,1,1,2,3,1,2,3,2,1,1,2,2,2,1,2,3,2,0,1,0,1,0,50,1,825,28,16,3,1,12,2,1,2,2,2,0,2016
"826",3,1,1,1,1,1,1,2,4,1,2,3,1,2,1,1,2,1,2,3,0,1,1,2,0,1,0,-1,4,826,23,13,1,5,12,2,1,2,1,0,7,2016
"827",2,0,0,0,0,0,0,0,6,0,0,0,1,2,1,2,1,1,1,0,0,1,0,0,0,5,0,24,1,827,53,16,3,5,12,1,1,2,7,1,3,2016
"828",1,2,2,1,3,1,2,8,8,1,8,3,3,3,1,8,1,1,3,1,8,2,1,0,0,4,0,40,1,828,39,11,0,4,11,1,3,2,7,1,7,2016
"829",3,0,0,0,0,0,0,0,8,0,0,0,2,2,1,2,2,1,1,0,0,1,4,0,0,5,0,62,1,829,38,14,1,3,12,5,2,2,7,8,8,2016
"830",1,0,0,0,0,0,0,0,4,0,0,0,1,2,1,2,2,3,1,0,2,1,2,2,0,1,0,61,1,830,51,12,1,4,12,4,1,1,1,1,1,2016
"831",3,0,0,0,0,0,0,0,2,0,0,0,2,1,8,1,1,2,1,0,0,1,0,0,0,5,0,40,1,831,66,16,3,0,12,1,1,2,7,1,0,2016
"832",3,0,0,0,0,0,0,0,5,0,0,0,2,1,2,2,2,2,1,0,0,1,1,2,0,1,0,40,1,832,54,20,4,5,13,2,1,1,3,1,1,2016
"833",1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,0,0,1,2,2,0,1,1,-1,5,833,68,12,1,0,12,2,1,1,1,0,8,2016
"834",3,1,2,2,2,1,2,1,6,2,1,2,3,2,2,2,2,1,1,2,0,1,0,2,0,2,0,40,1,834,58,16,3,6,13,1,1,1,7,1,1,2016
"835",2,0,0,0,0,0,0,0,6,0,0,0,3,2,2,2,1,2,2,0,0,1,3,2,0,1,0,50,1,835,47,18,4,6,13,5,1,1,3,1,1,2016
"836",1,1,1,1,1,3,1,2,5,1,1,3,1,2,1,2,1,2,1,3,0,1,2,2,0,1,0,25,2,836,33,18,4,4,12,2,1,2,4,2,1,2016
"837",3,0,0,0,0,0,0,0,4,0,0,0,1,1,2,1,1,1,1,0,0,1,3,2,0,2,1,-1,7,837,66,16,3,5,13,2,1,2,7,1,1,2016
"838",3,1,2,2,8,8,8,8,2,1,2,2,1,2,2,1,1,1,1,2,1,2,1,0,0,5,0,64,1,838,27,12,1,4,12,1,1,1,7,1,7,2016
"839",2,0,0,0,0,0,0,0,2,0,0,0,2,2,1,3,2,1,3,0,0,1,3,0,0,4,0,-1,4,839,54,14,1,2,10,1,1,1,7,0,0,2016
"840",1,0,0,0,0,0,0,0,3,0,0,0,2,2,2,2,1,1,1,0,0,1,1,0,0,3,0,-1,4,840,53,12,1,6,12,1,1,1,7,1,0,2016
"841",3,3,1,1,3,1,3,3,4,1,3,3,2,3,1,2,2,1,1,3,0,1,0,2,0,1,0,40,1,841,54,18,2,3,12,2,1,1,3,1,1,2016
"842",2,0,0,0,0,0,0,0,4,0,0,0,8,8,1,1,8,1,1,0,3,2,4,0,0,3,1,-1,7,842,51,12,1,3,9,1,1,2,7,1,7,2016
"843",3,0,0,0,0,0,0,0,3,0,0,0,2,2,2,2,2,1,1,0,0,1,3,0,0,3,1,-1,5,843,67,12,1,1,9,1,1,1,7,8,8,2016
"844",2,1,1,1,2,2,2,3,7,2,1,3,1,2,2,2,2,1,1,3,0,1,0,0,0,3,0,20,2,844,67,12,1,5,12,1,1,2,7,0,1,2016
"845",1,0,0,0,0,0,0,0,4,0,0,0,1,2,1,2,2,1,2,0,0,1,1,0,0,5,1,-1,5,845,65,12,1,2,11,1,1,2,7,1,3,2016
"846",2,0,0,0,0,0,0,0,3,0,0,0,2,3,2,1,1,1,1,0,1,2,0,0,0,5,0,40,1,846,23,14,2,1,13,1,2,2,7,1,7,2016
"847",1,1,3,1,2,1,1,2,4,1,2,3,1,2,1,2,2,1,1,3,0,1,0,0,0,5,0,40,1,847,27,15,1,1,12,1,2,2,7,3,1,2016
"848",3,0,0,0,0,0,0,0,4,0,0,0,2,2,1,1,2,1,1,0,0,1,1,0,0,5,0,40,1,848,28,12,1,2,10,2,2,1,-1,8,1,2016
"849",2,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,1,1,3,0,0,1,0,0,0,5,0,50,1,849,34,16,3,2,12,1,1,2,7,2,1,2016
"850",1,1,1,1,2,1,1,1,4,1,1,3,2,2,1,2,1,1,1,1,3,2,0,0,0,5,0,32,1,850,27,16,3,3,11,1,1,2,7,1,0,2016
"851",1,0,0,0,0,0,0,0,4,0,0,0,3,3,3,2,1,3,3,0,1,2,6,0,0,5,0,-1,4,851,60,8,0,1,4,1,2,1,7,8,0,2016
"852",2,1,3,2,1,2,1,1,3,1,3,2,1,1,2,2,2,2,2,2,0,1,0,0,0,5,0,50,1,852,26,16,2,2,12,3,1,1,7,1,1,2016
"853",1,0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,2,1,1,0,0,1,5,2,0,2,1,-1,7,853,74,12,1,0,9,2,1,2,7,1,7,2016
"854",3,2,3,1,2,1,1,1,8,2,3,2,1,1,2,2,1,2,1,2,0,1,0,0,0,5,0,15,2,854,44,12,1,3,4,2,1,2,7,1,7,2016
"855",2,0,0,0,0,0,0,0,3,0,0,0,2,2,2,2,1,2,2,0,1,2,2,2,0,1,0,40,1,855,31,12,1,3,12,4,1,1,1,1,1,2016
"856",3,0,0,0,0,0,0,0,4,0,0,0,2,2,1,2,1,2,2,0,1,2,3,0,0,3,1,-1,5,856,63,11,1,4,11,2,1,1,7,0,0,2016
"857",1,0,0,0,0,0,0,0,4,0,0,0,1,8,1,1,2,1,1,0,0,1,2,0,0,3,1,-1,5,857,72,12,1,2,8,1,1,2,7,0,0,2016
"858",3,1,2,1,1,1,1,3,2,1,2,2,1,1,2,2,1,1,1,2,0,1,0,0,0,5,0,56,1,858,25,17,3,2,13,2,1,1,7,4,3,2016
"859",1,0,0,0,0,0,0,0,4,0,0,0,2,3,1,3,3,1,3,0,1,2,2,0,0,5,0,40,1,859,35,18,3,1,12,1,3,1,7,1,7,2016
"860",3,1,1,1,3,1,1,1,5,1,2,3,1,2,2,2,2,1,1,1,1,2,0,1,0,1,0,48,1,860,56,13,1,0,12,2,2,1,1,1,7,2016
"861",2,0,0,0,0,0,0,0,3,0,0,0,2,1,2,2,2,2,2,0,1,3,0,0,0,5,2,-1,6,861,20,13,1,1,11,3,3,2,7,1,2,2016
"862",1,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,0,2,1,-1,5,862,75,12,1,0,11,2,3,1,7,1,3,2016
"863",3,0,0,0,0,0,0,0,5,0,0,0,1,2,1,2,1,1,1,0,0,1,2,2,0,1,0,60,1,863,43,16,3,5,13,4,3,2,3,1,7,2016
"864",2,1,1,1,3,1,1,1,2,1,3,2,1,1,1,1,2,1,2,1,0,1,0,0,0,5,0,-1,4,864,28,16,4,1,12,4,3,2,7,3,3,2016
"865",1,0,0,0,0,0,0,0,4,0,0,0,2,1,1,3,1,1,1,0,0,1,4,0,0,3,1,-1,5,865,68,14,2,3,9,1,1,1,7,1,1,2016
"866",3,2,1,2,2,1,1,2,4,2,3,3,1,1,2,2,2,2,1,2,0,1,0,0,0,3,0,35,1,866,61,16,3,0,12,1,1,2,7,1,1,2016
"867",1,1,1,2,1,1,1,3,3,1,3,3,2,2,1,2,1,2,2,2,1,2,0,0,0,5,0,40,1,867,46,15,1,2,12,1,1,2,7,1,7,2016
"868",3,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,1,1,1,0,0,1,0,0,0,5,0,40,1,868,53,18,4,1,12,1,1,1,7,1,1,2016
"869",2,8,8,1,8,8,2,3,6,8,8,8,8,8,8,8,8,1,8,3,0,1,4,2,0,2,1,-1,5,869,79,13,1,0,98,1,1,2,7,1,8,2016
"870",3,1,1,2,3,2,1,1,4,2,3,3,2,2,3,2,1,2,2,2,1,2,0,2,0,1,0,45,1,870,35,16,3,1,12,3,1,2,1,1,0,2016
"871",2,0,0,0,0,0,0,0,4,0,0,0,1,2,1,2,1,2,1,0,0,1,3,0,0,3,1,-1,5,871,70,18,4,4,12,1,1,2,7,1,3,2016
"872",2,1,1,3,1,1,1,3,4,1,3,3,3,1,1,2,2,1,3,1,0,1,3,0,0,3,1,-1,5,872,59,12,1,1,10,2,1,2,7,4,4,2016
"873",1,0,0,0,0,0,0,0,9,0,0,0,2,2,2,2,2,1,2,0,9,9,9,0,0,5,1,-1,8,873,54,99,9,9,13,1,2,1,7,1,1,2016
"874",3,1,1,2,1,1,1,2,3,2,2,3,1,1,1,1,2,1,2,1,3,3,3,0,0,5,1,-1,5,874,47,9,0,3,9,1,1,1,7,1,1,2016
"875",2,0,0,0,0,0,0,0,4,0,0,0,1,3,1,1,1,1,3,0,0,1,0,2,0,1,0,40,1,875,22,13,1,0,12,1,2,2,1,3,7,2016
"876",2,2,1,1,2,2,2,3,5,2,1,2,1,2,2,1,2,1,2,1,0,1,1,0,0,3,1,-1,8,876,65,15,2,0,9,1,1,2,7,0,2,2016
"877",3,1,1,1,1,1,1,2,5,1,3,2,1,1,2,1,1,1,1,1,9,8,2,2,0,1,1,-1,5,877,81,13,2,1,12,2,1,2,4,8,1,2016
"878",2,0,0,0,0,0,0,0,4,0,0,0,2,1,2,2,1,1,1,0,1,2,6,1,0,1,1,-1,5,878,74,19,4,3,12,2,1,1,1,0,0,2016
"879",1,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1,0,1,4,2,0,1,1,-1,5,879,77,17,3,0,12,2,1,2,3,1,1,2016
"880",2,1,2,1,2,1,1,1,4,1,3,3,1,1,1,2,1,1,1,2,1,3,0,0,0,5,0,28,2,880,22,13,1,1,12,3,3,1,7,1,1,2016
"881",1,0,0,0,0,0,0,0,4,0,0,0,2,1,1,1,1,1,1,0,0,1,2,2,0,1,0,40,1,881,54,17,4,1,13,4,1,1,4,3,3,2016
"882",2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,0,0,1,2,2,0,1,0,16,2,882,48,16,3,0,12,4,1,2,3,2,3,2016
"883",1,1,1,2,1,2,1,1,4,1,2,2,1,2,1,2,1,1,1,2,2,2,0,0,0,5,0,40,1,883,43,16,3,5,12,1,1,1,7,3,1,2016
"884",3,2,2,1,1,1,2,2,5,2,2,3,3,2,1,2,2,1,2,2,0,1,0,0,0,5,0,45,1,884,27,15,2,4,12,2,1,2,7,4,7,2016
"885",1,2,1,1,2,1,1,2,4,1,2,2,1,2,2,2,2,2,2,2,1,3,0,2,0,1,0,40,1,885,30,16,3,3,13,2,3,2,4,3,3,2016
"886",3,0,0,0,0,0,0,0,5,0,0,0,8,8,8,8,8,8,8,0,0,1,3,2,0,1,0,-1,3,886,52,20,4,3,13,4,1,1,2,3,1,2016
"887",1,0,0,0,0,0,0,0,3,0,0,0,1,2,2,2,2,2,1,0,0,1,1,2,0,1,0,40,1,887,55,14,2,1,13,3,1,2,3,1,7,2016
"888",3,1,2,2,2,1,1,2,2,1,2,3,2,1,1,2,2,2,1,1,0,1,2,2,0,1,0,55,1,888,40,16,3,2,13,4,1,1,4,1,2,2016
"889",2,0,0,0,0,0,0,0,4,0,0,0,1,2,1,2,1,2,1,0,9,8,3,2,0,2,0,30,2,889,51,15,2,3,12,4,1,1,7,1,1,2016
"890",1,1,1,1,1,1,1,8,5,1,1,8,1,1,1,1,1,1,2,1,1,3,0,0,0,5,0,38,1,890,21,14,1,1,12,2,3,2,7,7,0,2016
"891",2,1,1,1,1,1,1,2,5,1,3,2,1,1,1,2,2,2,1,1,1,2,0,0,0,5,0,36,1,891,29,12,1,2,11,2,1,1,7,3,7,2016
"892",2,0,0,0,0,0,0,0,4,0,0,0,2,3,1,2,1,1,1,0,0,1,7,2,0,2,1,-1,5,892,83,12,1,1,98,1,1,2,7,0,0,2016
"893",1,1,1,2,2,2,1,1,3,1,2,2,2,2,1,2,2,1,1,2,0,1,5,2,0,2,1,-1,5,893,81,15,1,1,10,1,1,2,7,0,0,2016
"894",3,0,0,0,0,0,0,0,4,0,0,0,1,8,1,1,3,1,1,0,0,1,2,1,0,2,1,-1,5,894,66,20,4,0,13,1,2,2,7,0,0,2016
"895",2,1,2,1,2,1,1,2,5,2,1,3,1,1,1,2,2,2,2,2,0,1,2,0,0,3,1,-1,5,895,72,16,3,4,12,1,1,1,7,1,0,2016
"896",1,0,0,0,0,0,0,0,6,0,0,0,1,1,1,1,1,1,1,0,0,1,2,0,0,3,1,-1,5,896,78,12,1,0,9,1,1,2,7,1,0,2016
"897",2,0,0,0,0,0,0,0,3,0,0,0,1,1,1,2,1,2,1,0,0,1,2,0,0,3,1,-1,5,897,80,12,1,1,12,2,3,1,-1,1,0,2016
"898",2,2,2,1,2,2,3,2,6,2,1,2,2,1,2,2,3,2,1,2,0,1,2,2,0,1,1,-1,7,898,60,14,1,6,12,2,1,2,1,1,1,2016
"899",2,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,1,2,2,0,1,2,0,0,0,5,0,6,2,899,24,14,1,2,10,2,1,1,-1,3,7,2016
"900",2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,0,0,1,2,0,0,3,0,50,1,900,81,18,4,2,12,1,1,1,7,1,8,2016
"901",1,1,1,2,1,1,1,1,4,2,3,3,1,1,2,1,1,2,1,2,0,1,0,0,0,5,0,60,1,901,33,16,2,1,12,1,1,2,7,1,1,2016
"902",2,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,0,1,1,2,0,2,1,-1,5,902,89,8,0,0,98,1,1,2,7,0,8,2016
"903",1,0,0,0,0,0,0,0,4,0,0,0,1,1,3,1,2,1,3,0,9,8,1,0,0,5,0,65,2,903,23,13,1,3,12,4,3,1,-1,1,1,2016
"904",3,1,1,1,8,1,1,8,4,8,3,8,1,1,1,1,2,8,3,2,1,2,0,0,0,5,0,34,1,904,22,13,1,3,11,5,1,2,7,2,1,2016
"905",2,0,0,0,0,0,0,0,3,0,0,0,2,2,2,2,2,8,2,0,0,1,3,1,0,1,1,-1,6,905,31,13,1,1,12,5,1,1,1,1,1,2016
"906",2,1,1,1,1,1,1,8,2,8,2,8,8,8,1,2,3,1,2,8,9,2,3,2,0,1,1,-1,8,906,34,10,0,9,12,4,3,2,1,0,0,2016
"907",1,0,0,0,0,0,0,0,4,0,0,0,2,1,2,1,1,1,2,0,0,1,3,1,0,2,1,-1,5,907,87,11,0,4,13,1,1,2,7,0,0,2016
"908",2,0,0,0,0,0,0,0,4,0,0,0,2,2,1,2,2,1,2,0,8,2,0,0,0,3,0,55,1,908,47,12,1,2,12,3,1,2,7,7,1,2016
"909",3,0,0,0,0,0,0,0,4,0,0,0,1,1,2,2,2,2,2,0,0,1,0,0,0,5,0,45,1,909,35,12,1,6,12,1,1,1,7,1,1,2016
"910",2,1,1,1,1,1,1,2,4,1,3,3,1,2,1,2,2,1,2,2,9,2,5,2,0,2,1,-1,5,910,76,9,1,3,10,1,1,2,7,0,0,2016
"911",3,1,1,2,2,1,2,2,4,2,1,8,2,2,8,2,2,1,2,3,3,2,5,1,0,2,1,-1,5,911,44,10,1,1,12,5,1,2,7,2,8,2016
"912",2,0,0,0,0,0,0,0,6,0,0,0,1,1,2,2,2,2,2,0,2,2,0,0,0,5,0,-1,3,912,27,16,3,5,12,3,1,2,7,1,1,2016
"913",1,1,1,2,1,1,1,2,6,2,2,2,1,2,1,1,2,1,2,3,3,3,0,0,0,5,0,33,2,913,19,13,1,4,98,2,1,2,7,1,7,2016
"914",2,2,2,2,8,1,1,3,4,2,2,2,2,2,2,2,2,1,2,2,1,3,2,1,0,1,0,50,1,914,39,17,3,2,98,4,3,2,1,0,0,2016
"915",2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,2,1,2,1,0,0,1,3,1,0,1,1,-1,7,915,58,20,3,0,12,2,1,2,1,1,0,2016
"916",3,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,2,1,2,0,8,3,6,0,0,3,0,70,1,916,42,12,1,3,12,7,1,2,7,0,0,2016
"917",2,1,1,1,2,1,1,2,5,2,2,3,2,1,1,1,1,2,1,2,0,1,3,0,0,3,1,-1,7,917,71,12,1,5,12,2,1,2,-1,1,0,2016
"918",3,1,1,3,1,1,2,3,4,2,1,3,2,2,3,1,2,3,2,3,8,2,5,1,0,1,0,32,1,918,43,13,1,1,12,2,3,2,1,1,1,2016
"919",3,0,0,0,0,0,0,0,3,0,0,0,1,2,1,2,2,1,1,0,0,1,1,0,0,5,1,-1,7,919,30,14,1,0,12,2,2,2,-1,1,8,2016
"920",1,0,0,0,0,0,0,0,5,0,0,0,1,1,1,2,1,1,1,0,0,1,2,2,0,1,0,40,1,920,51,18,4,1,12,3,1,2,4,3,3,2016
"921",3,0,0,0,0,0,0,0,4,0,0,0,3,2,1,2,2,1,2,0,0,1,1,0,0,3,0,45,1,921,39,12,1,5,12,2,1,2,7,7,1,2016
