"","BALLOT","NATEDUC","NATDRUG","NATCRIME","NATCITY","NATHEAL","NATENVIR","NATSPAC","POLVIEWS","NATRACE","NATARMS","NATAID","NATENRGY","NATSCI","NATCHLD","NATPARK","NATMASS","NATSOC","NATROAD","NATFARE","IF12WHO","VOTE12","CHILDS","DIVORCE","AGEWED","MARITAL","EVWORK","HRS1","WRKSTAT","ID_","AGE","EDUC","DEGREE","PARTYID","INCOME","HOMPOP","RACE","SEX","SPDEG","MADEG","PADEG","YEAR"
"34",3,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,2,3,2,0,1,2,1,1,0,1,1,-1,5,34,46,14,1,1,12,3,2,1,1,3,1,2016
"35",1,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,2,1,1,0,0,1,2,0,0,4,0,-1,4,35,58,12,1,0,12,2,1,2,7,1,0,2016
"36",2,3,2,1,2,3,2,1,6,1,1,2,2,1,2,1,2,2,1,3,0,1,0,0,0,5,0,40,1,36,35,12,1,6,12,2,1,1,7,1,7,2016
"37",2,0,0,0,0,0,0,0,6,0,0,0,1,2,2,2,2,1,2,0,0,1,2,2,0,1,0,25,2,37,59,16,3,2,12,4,1,1,4,1,1,2016
"38",1,0,0,0,0,0,0,0,4,0,0,0,1,8,2,1,8,2,3,0,0,1,2,2,0,1,0,40,1,38,43,16,3,3,12,4,1,2,3,3,7,2016
"39",3,1,1,1,2,3,2,3,6,2,1,3,1,2,1,2,2,2,1,2,0,1,0,0,0,5,0,65,1,39,58,16,3,6,12,1,1,2,7,3,3,2016
"40",2,2,1,1,1,1,2,2,4,1,1,2,1,2,1,2,2,1,1,1,0,1,1,2,0,2,1,-1,5,40,79,14,1,0,12,1,1,2,7,7,0,2016
"41",3,1,1,1,3,1,1,8,7,3,2,3,2,2,3,2,3,2,3,3,1,2,1,0,0,5,0,39,1,41,40,12,1,2,12,2,1,2,-1,1,7,2016
"42",1,1,2,2,2,2,8,3,4,2,3,2,3,2,1,2,2,1,3,2,1,2,2,1,0,1,0,10,2,42,44,12,1,0,12,4,3,2,1,0,7,2016
"43",2,2,2,2,8,8,2,2,4,2,1,8,8,1,1,1,1,8,2,2,2,2,2,2,0,1,0,6,2,43,68,16,3,5,12,2,3,2,3,3,1,2016
"44",3,1,1,3,2,1,1,2,2,1,3,8,1,2,1,2,1,1,2,1,1,3,0,0,0,5,0,45,1,44,36,20,4,1,12,1,1,2,7,4,4,2016
"45",2,0,0,0,0,0,0,0,4,0,0,0,2,2,2,2,2,1,2,0,0,1,0,0,0,3,1,-1,5,45,70,17,1,5,9,1,1,1,7,8,1,2016
"46",3,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,2,2,2,0,0,1,0,0,0,5,0,45,1,46,28,15,1,0,12,1,1,1,7,3,1,2016
"47",2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,1,3,0,1,0,0,0,5,0,44,1,47,35,16,3,1,13,1,2,2,7,1,1,2016
"48",1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,0,1,3,0,2,0,1,0,40,1,48,33,16,4,2,12,2,3,1,3,1,3,2016
"49",3,2,2,2,2,1,1,1,3,2,2,3,1,1,8,2,1,3,1,2,0,1,0,0,0,5,2,-1,6,49,23,17,3,3,12,2,1,1,7,4,4,2016
"50",2,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,1,2,1,0,0,1,0,0,0,3,0,50,1,50,47,16,4,0,12,1,1,2,7,4,7,2016
"51",2,1,1,1,1,1,1,2,2,1,1,8,2,2,1,2,1,3,2,1,1,2,0,0,0,5,0,50,1,51,25,16,3,1,12,2,3,2,-1,3,4,2016
"52",1,2,1,1,2,1,1,2,1,1,3,2,1,1,1,2,3,2,1,1,0,1,2,2,0,1,1,-1,5,52,70,12,1,0,12,2,1,2,3,1,1,2016
"53",2,0,0,0,0,0,0,0,5,0,0,0,1,3,2,3,2,1,2,0,8,3,0,0,0,5,0,20,2,53,20,13,1,5,98,6,1,1,7,3,3,2016
"54",3,0,0,0,0,0,0,0,4,0,0,0,3,3,1,2,3,3,1,0,9,8,2,2,0,1,0,45,1,54,41,19,4,4,13,4,1,1,4,1,1,2016
"55",1,2,2,1,1,1,1,3,6,2,1,2,1,2,2,3,2,1,2,3,0,1,3,1,0,1,0,4,2,55,53,16,3,6,13,2,1,2,3,1,1,2016
"56",2,2,1,2,2,1,2,3,1,3,2,3,2,1,2,2,2,1,2,2,0,1,2,2,0,1,0,35,2,56,42,16,3,2,12,4,1,2,3,1,1,2016
